city,locality,bhk,total_sqft,price_inr,price_per_sqft,bhk_category
Bengaluru,JP Nagar Phase 1,4,3340,30000000,8982.035928143712,4 BHK
Bengaluru,Dasarahalli on Tumkur Road,2,1045,7888000,7548.3253588516745,2 BHK
Bengaluru,Kannur on Thanisandra Main Road,2,1179,4866000,4127.226463104325,2 BHK
Bengaluru,Doddanekundi,3,1675,8358000,4989.850746268657,3 BHK
Bengaluru,Kengeri,3,1670,6845000,4098.802395209581,3 BHK
Bengaluru,Horamavu,2,1220,6797000,5571.311475409836,2 BHK
Bengaluru,Thanisandra,4,2502,20000000,7993.605115907274,4 BHK
Bengaluru,Ramamurthy Nagar,3,1438,7105000,4940.8901251738525,3 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1405,8405000,5982.20640569395,3 BHK
Bengaluru,Electronic City Phase 1,1,660,3506000,5312.121212121212,1 BHK
Bengaluru,Yelahanka,2,1362,7700000,5653.45080763583,2 BHK
Bengaluru,Anjanapura,3,1735,9369000,5400.0,3 BHK
Bengaluru,Jalahalli,3,1575,8716000,5533.9682539682535,3 BHK
Bengaluru,Kasavanahalli,2,1120,5394000,4816.071428571428,2 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1415,6367000,4499.6466431095405,3 BHK
Bengaluru,Bommasandra,2,1270,5080000,4000.0,2 BHK
Bengaluru,Bellandur,3,1311,7209999,5499.6178489702515,3 BHK
Bengaluru,RR Nagar,2,1210,5700000,4710.743801652892,2 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1705,12400000,7272.727272727273,3 BHK
Bengaluru,Begur,2,1187,4900000,4128.053917438921,2 BHK
Bengaluru,Kannur on Thanisandra Main Road,3,2293,9630000,4199.738334060183,3 BHK
Bengaluru,Hosa Road,3,1726,9458000,5479.721900347625,3 BHK
Bengaluru,Sahakar Nagar,4,2470,23700000,9595.141700404858,4 BHK
Bengaluru,Kadugodi,3,1570,7363000,4689.8089171974525,3 BHK
Bengaluru,Jakkur,2,1120,5489000,4900.892857142857,2 BHK
Bengaluru,Jigani,3,1506,4216000,2799.468791500664,3 BHK
Bengaluru,Krishnarajapura,2,1040,4368000,4200.0,2 BHK
Bengaluru,Brookefield,2,1150,7600000,6608.695652173913,2 BHK
Bengaluru,Horamavu,2,1045,4545000,4349.282296650717,2 BHK
Bengaluru,Banashankari,3,2480,23100000,9314.516129032258,3 BHK
Bengaluru,RR Nagar,2,1160,8000000,6896.551724137931,2 BHK
Bengaluru,RR Nagar,2,1143,4514000,3949.2563429571305,2 BHK
Bengaluru,RR Nagar,2,1300,5460000,4200.0,2 BHK
Bengaluru,Nelamangala,2,966,4414000,4569.358178053831,2 BHK
Bengaluru,Begur,2,1245,8868000,7122.891566265061,2 BHK
Bengaluru,Ramamurthy Nagar,2,1275,6133000,4810.196078431372,2 BHK
Bengaluru,Attibele,2,1085,3038000,2800.0,2 BHK
Bengaluru,Nelamangala,3,1286,7100000,5520.99533437014,3 BHK
Bengaluru,Banaswadi,2,1155,7506999,6499.566233766233,2 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1304,6520000,5000.0,3 BHK
Bengaluru,Kodigehalli,2,1120,6389000,5704.464285714285,2 BHK
Bengaluru,ITPL,3,2017,11700000,5800.694100148736,3 BHK
Bengaluru,Uttarahalli Hobli,3,1340,5600000,4179.104477611941,3 BHK
Bengaluru,Electronic City Phase 1,3,1304,4562000,3498.4662576687115,3 BHK
Bengaluru,Ramamurthy Nagar,1,649,2951000,4546.995377503852,1 BHK
Bengaluru,Krishnarajapura,2,1108,4264000,3848.375451263538,2 BHK
Bengaluru,Krishnarajapura,3,1675,6698000,3998.805970149254,3 BHK
Bengaluru,Chikkagubbi on Hennur Main Road,2,718,8100000,11281.33704735376,2 BHK
Bengaluru,Kasavanahalli,2,1075,4500000,4186.046511627907,2 BHK
Bengaluru,Varthur,2,1120,4928000,4400.0,2 BHK
Bengaluru,Vidyaranyapura,2,1350,6100000,4518.518518518518,2 BHK
Bengaluru,Electronic City Phase 2,2,1404,6151000,4381.054131054131,2 BHK
Bengaluru,Begur,2,1080,5426000,5024.074074074074,2 BHK
Bengaluru,J. P. Nagar,3,1800,13000000,7222.222222222223,3 BHK
Bengaluru,K. Chudahalli,2,1060,4850000,4575.471698113208,2 BHK
Bengaluru,Narayanaghatta,3,1540,4604000,2989.6103896103896,3 BHK
Bengaluru,Anekal City,3,1110,3607000,3249.5495495495497,3 BHK
Bengaluru,Sahakar Nagar,3,1645,16500000,10030.395136778116,3 BHK
Bengaluru,Sarjapur,3,1345,4840000,3598.5130111524163,3 BHK
Bengaluru,Koramangala,3,1866,25800000,13826.36655948553,3 BHK
Bengaluru,Hebbal,3,3500,51000000,14571.42857142857,3 BHK
Bengaluru,Electronic City Phase 1,2,1145,4809000,4200.0,2 BHK
Bengaluru,Budigere Cross,2,935,5070000,5422.459893048128,2 BHK
Bengaluru,Bommanahalli,3,1455,10500000,7216.494845360825,3 BHK
Bengaluru,Uttarahalli Hobli,2,1305,6850000,5249.0421455938695,2 BHK
Bengaluru,Varthur,2,1145,4580000,4000.0,2 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1635,5559000,3400.0,3 BHK
Bengaluru,RR Nagar,2,1145,4723000,4124.890829694323,2 BHK
Bengaluru,Krishnarajapura,3,1175,4465000,3800.0,3 BHK
Bengaluru,Varthur,2,1216,8954000,7363.486842105263,2 BHK
Bengaluru,Electronics City,2,1005,4000000,3980.0995024875624,2 BHK
Bengaluru,Chikkalasandra,2,1200,5400000,4500.0,2 BHK
Bengaluru,Kogilu,2,1279,8784000,6867.865519937451,2 BHK
Bengaluru,Nayandahalli,2,1180,7900000,6694.9152542372885,2 BHK
Bengaluru,Electronic City Phase 2,3,1310,4781000,3649.618320610687,3 BHK
Bengaluru,Bilekahalli,3,1776,15000000,8445.945945945947,3 BHK
Bengaluru,Horamavu,2,1125,4700000,4177.777777777777,2 BHK
Bengaluru,Muneshwara Nagar,3,1195,7767000,6499.581589958159,3 BHK
Bengaluru,Thanisandra,2,1272,6487000,5099.842767295598,2 BHK
Bengaluru,Junnasandra,3,2170,14000000,6451.612903225807,3 BHK
Bengaluru,RR Nagar,3,1510,8758000,5800.0,3 BHK
Bengaluru,Narayanapura on Hennur Main Road,3,1846,13100000,7096.424702058505,3 BHK
Bengaluru,Kothanur,2,1170,5500000,4700.854700854701,2 BHK
Bengaluru,Kadugodi Industrial Area,2,1215,4900000,4032.9218106995886,2 BHK
Bengaluru,Kannur on Thanisandra Main Road,2,1245,8779000,7051.40562248996,2 BHK
Bengaluru,ITPL,3,1833,22000000,12002.182214948172,3 BHK
Bengaluru,Sarjapur Road Wipro To Railway Crossing,2,969,5329000,5499.484004127967,2 BHK
Bengaluru,RMV Extension Stage 2,2,1100,7500000,6818.181818181818,2 BHK
Bengaluru,Kudlu,2,900,3779999,4199.998888888889,2 BHK
Bengaluru,Talaghattapura,2,1306,9000000,6891.271056661562,2 BHK
Bengaluru,Electronic City Phase 2,3,1505,8218000,5460.46511627907,3 BHK
Bengaluru,Jakkur,3,1502,8656000,5762.982689747004,3 BHK
Bengaluru,Doddanekundi,3,1675,7520000,4489.55223880597,3 BHK
