city,locality_standard,location_raw,bhk,bhk_category,total_sqft_clean,sqft_parse_method,size_bucket,bath,balcony,price_lakhs,price_inr,price_per_sqft,area_type,availability_bucket,age_bucket,quality_flag,quality_flag_detail,locality_tier
Bengaluru,Electronic City Phase II,Electronic City Phase II,2.0,2 BHK,1056.0,plain,1000-1500 sqft,2.0,1.0,39.07,3907000.0,3699.810606060606,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Chikka Tirupathi,Chikka Tirupathi,4.0,4 BHK,2600.0,plain,2500+ sqft,5.0,3.0,120.0,12000000.0,4615.384615384615,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Uttarahalli,Uttarahalli,3.0,3 BHK,1440.0,plain,1000-1500 sqft,2.0,3.0,62.0,6200000.0,4305.555555555556,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Lingadheeranahalli,Lingadheeranahalli,3.0,3 BHK,1521.0,plain,1500-2500 sqft,3.0,1.0,95.0,9500000.0,6245.890861275477,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Kothanur,Kothanur,2.0,2 BHK,1200.0,plain,1000-1500 sqft,2.0,1.0,51.0,5100000.0,4250.0,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Whitefield,Whitefield,2.0,2 BHK,1170.0,plain,1000-1500 sqft,2.0,1.0,38.0,3800000.0,3247.863247863248,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Old Airport Road,Old Airport Road,4.0,4 BHK,2732.0,plain,2500+ sqft,4.0,,204.0,20400000.0,7467.0571010248905,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Rajaji Nagar,Rajaji Nagar,4.0,4 BHK,3300.0,plain,2500+ sqft,4.0,,600.0,60000000.0,18181.81818181818,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Marathahalli,Marathahalli,3.0,3 BHK,1310.0,plain,1000-1500 sqft,3.0,1.0,63.25,6325000.0,4828.244274809161,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Gandhi Bazar,Gandhi Bazar,6.0,5+ BHK,1020.0,plain,1000-1500 sqft,6.0,,370.0,37000000.0,36274.509803921566,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Whitefield,Whitefield,3.0,3 BHK,1800.0,plain,1500-2500 sqft,2.0,2.0,70.0,7000000.0,3888.8888888888887,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Whitefield,Whitefield,4.0,4 BHK,2785.0,plain,2500+ sqft,5.0,3.0,295.0,29500000.0,10592.45960502693,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,7th Phase JP Nagar,7th Phase JP Nagar,2.0,2 BHK,1000.0,plain,1000-1500 sqft,2.0,1.0,38.0,3800000.0,3800.0,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Gottigere,Gottigere,2.0,2 BHK,1100.0,plain,1000-1500 sqft,2.0,2.0,40.0,4000000.0,3636.3636363636365,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Sarjapur,Sarjapur,3.0,3 BHK,2250.0,plain,1500-2500 sqft,3.0,2.0,148.0,14800000.0,6577.777777777777,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Mysore Road,Mysore Road,2.0,2 BHK,1175.0,plain,1000-1500 sqft,2.0,2.0,73.5,7350000.0,6255.31914893617,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Bisuvanahalli,Bisuvanahalli,3.0,3 BHK,1180.0,plain,1000-1500 sqft,3.0,2.0,48.0,4800000.0,4067.7966101694915,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
