Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator,price_inr,total_sqft_clean,bhk,price_per_sqft,locality_standard,bhk_category,size_bucket,quality_flag,city,age_bucket,amenity_score,amenity_count_total
5500000,1310,Perungalathur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500000,1310,3,4198.473282442748,Perungalathur,3 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,0,35
5350000,1126,Madhavaram,2,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5350000,1126,2,4751.332149200711,Madhavaram,2 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,10,35
8205000,1307,Karapakkam,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8205000,1307,3,6277.735271614384,Karapakkam,3 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,15,35
23400000,3600,Thiruvidandhai,3,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23400000,3600,3,6500.0,Thiruvidandhai,3 BHK,2500+ sqft,Valid,Chennai,Not available in source data,8,35
10100000,1700,Iyappanthangal,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10100000,1700,3,5941.176470588235,Iyappanthangal,3 BHK,1500-2500 sqft,Valid,Chennai,Not available in source data,9,35
2950000,576,Mevalurkuppam,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2950000,576,1,5121.527777777777,Mevalurkuppam,1 BHK,500-1000 sqft,Valid,Chennai,Not available in source data,16,35
7600000,1207,Kolapakkam,3,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7600000,1207,3,6296.603148301574,Kolapakkam,3 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,13,35
2234000,604,Kundrathur,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2234000,604,2,3698.6754966887415,Kundrathur,2 BHK,500-1000 sqft,Valid,Chennai,Not available in source data,2,35
5521000,986,Pammal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5521000,986,2,5599.3914807302235,Pammal,2 BHK,500-1000 sqft,Valid,Chennai,Not available in source data,1,35
6321000,1345,Puzhal,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6321000,1345,3,4699.628252788104,Puzhal,3 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,12,35
3404000,510,Selaiyur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3404000,510,1,6674.509803921569,Selaiyur,1 BHK,500-1000 sqft,Valid,Chennai,Not available in source data,1,35
11600000,1508,Thoraipakkam OMR,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11600000,1508,3,7692.307692307692,Thoraipakkam OMR,3 BHK,1500-2500 sqft,Valid,Chennai,Not available in source data,12,35
6536000,1245,Karapakkam,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6536000,1245,2,5249.7991967871485,Karapakkam,2 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,11,35
24200000,1565,Anna Nagar,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24200000,1565,3,15463.258785942491,Anna Nagar,3 BHK,1500-2500 sqft,Valid,Chennai,Not available in source data,4,35
8162000,1306,Mogappair,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8162000,1306,2,6249.617151607963,Mogappair,2 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,2,35
6190000,1113,Sholinganallur,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6190000,1113,2,5561.545372866128,Sholinganallur,2 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,6,35
9613000,1479,Mogappair,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9613000,1479,3,6499.661933739013,Mogappair,3 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,8,35
7542000,1640,Sholinganallur,3,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7542000,1640,3,4598.780487804878,Sholinganallur,3 BHK,1500-2500 sqft,Valid,Chennai,Not available in source data,21,35
6338000,1112,Medavakkam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6338000,1112,2,5699.640287769784,Medavakkam,2 BHK,1000-1500 sqft,Valid,Chennai,Not available in source data,1,35
2724000,645,Avadi,2,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2724000,645,2,4223.2558139534885,Avadi,2 BHK,500-1000 sqft,Valid,Chennai,Not available in source data,13,35
3388000,738,Tiruvottiyur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388000,738,2,4590.785907859078,Tiruvottiyur,2 BHK,500-1000 sqft,Valid,Chennai,Not available in source data,0,35
