Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator,price_inr,total_sqft_clean,bhk,price_per_sqft,locality_standard,bhk_category,size_bucket,quality_flag,city,age_bucket,amenity_score,amenity_count_total
6968000,1340,Nizampet,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6968000,1340,2,5200.0,Nizampet,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,15,35
29000000,3498,Hitech City,4,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,29000000,3498,4,8290.451686678101,Hitech City,4 BHK,2500+ sqft,Valid,Hyderabad,Not available in source data,17,35
6590000,1318,Manikonda,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6590000,1318,2,5000.0,Manikonda,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,4,35
5739000,1295,Alwal,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5739000,1295,3,4431.660231660232,Alwal,3 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,2,35
5679000,1145,Kukatpally,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5679000,1145,2,4959.825327510917,Kukatpally,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,5,35
6099000,1230,Nizampet,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6099000,1230,2,4958.536585365854,Nizampet,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,2,35
7000000,1350,Manikonda,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7000000,1350,2,5185.185185185185,Manikonda,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,1,35
4198000,1400,Gachibowli,3,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4198000,1400,3,2998.5714285714284,Gachibowli,3 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,9,35
9900000,2240,Tellapur,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9900000,2240,3,4419.642857142857,Tellapur,3 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,8,35
9800000,1520,Gachibowli,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9800000,1520,2,6447.368421052632,Gachibowli,2 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,2,35
8903000,1535,Kokapet,3,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,8903000,1535,3,5800.0,Kokapet,3 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,17,35
6300000,1150,Hyder Nagar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6300000,1150,2,5478.260869565217,Hyder Nagar,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,2,35
6300000,1285,Mehdipatnam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6300000,1285,2,4902.72373540856,Mehdipatnam,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,2,35
9000000,1897,Tellapur,3,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,9000000,1897,3,4744.33315761729,Tellapur,3 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,19,35
11100000,1725,Narsingi,3,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,11100000,1725,3,6434.782608695652,Narsingi,3 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,19,35
11500000,1665,Khajaguda Nanakramguda Road,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,11500000,1665,3,6906.906906906907,Khajaguda Nanakramguda Road,3 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,8,35
10900000,1592,Kukatpally,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10900000,1592,3,6846.733668341709,Kukatpally,3 BHK,1500-2500 sqft,Valid,Hyderabad,Not available in source data,5,35
8625000,1150,Madhapur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8625000,1150,2,7500.0,Madhapur,2 BHK,1000-1500 sqft,Valid,Hyderabad,Not available in source data,2,35
