raw_locality_normalized,standard_locality_normalized,standard_locality_display,method,confidence,n_listings,flag_for_manual_review
1st block koramangala,1a block koramangala,1A Block Koramangala,fuzzy_suggestion_NOT_applied,92.7,10,True
1st block hbr layout,1st block bel layout,1st Block BEL Layout,fuzzy_suggestion_NOT_applied,90.0,3,True
1st block hrbr layout,1st block hbr layout,1st Block HBR Layout,fuzzy_suggestion_NOT_applied,97.6,8,True
2nd block hrbr layout,2nd block hbr layout,2nd Block Hbr Layout,fuzzy_suggestion_NOT_applied,97.6,7,True
2nd block bel layout,2nd block hbr layout,2nd Block Hbr Layout,fuzzy_suggestion_NOT_applied,90.0,2,True
3rd block hrbr layout,3rd block hbr layout,3rd Block HBR Layout,fuzzy_suggestion_NOT_applied,97.6,7,True
4th t block jayanagar,4th block jayanagar,4th Block Jayanagar,fuzzy_suggestion_NOT_applied,95.0,7,True
narayanapura,a narayanapura,A Narayanapura,fuzzy_suggestion_NOT_applied,92.3,10,True
b narayanapura,a narayanapura,A Narayanapura,fuzzy_suggestion_NOT_applied,92.9,9,True
ags layout,agb layout,AGB Layout,fuzzy_suggestion_NOT_applied,90.0,7,True
ags layout,ams layout,AMS Layout,fuzzy_suggestion_NOT_applied,90.0,7,True
avalahalli,aavalahalli,Aavalahalli,fuzzy_suggestion_NOT_applied,95.2,5,True
kadugodi,adugodi,Adugodi,fuzzy_suggestion_NOT_applied,93.3,40,True
kashi nagar,akash nagar,Akash Nagar,fuzzy_suggestion_NOT_applied,90.9,3,True
prakash nagar,akash nagar,Akash Nagar,fuzzy_suggestion_NOT_applied,91.7,1,True
akshayanagara east,akshayanagara west,Akshayanagara West,fuzzy_suggestion_NOT_applied,94.4,8,True
akshaya nagar,akshya nagar,Akshya Nagar,fuzzy_suggestion_NOT_applied,96.0,61,True
ambalipura,amblipura,Amblipura,fuzzy_suggestion_NOT_applied,94.7,26,True
anandapura,anantapura,Anantapura,fuzzy_suggestion_NOT_applied,90.0,27,True
anjanapura,anantapura,Anantapura,fuzzy_suggestion_NOT_applied,90.0,16,True
anantapura,anantapuram,Anantapuram,fuzzy_suggestion_NOT_applied,95.2,3,True
anandapura,anjanapura,Anjanapura,fuzzy_suggestion_NOT_applied,90.0,27,True
anjappa layout,ankappa layout,Ankappa Layout,fuzzy_suggestion_NOT_applied,92.9,3,True
abbaiah reddy layout,annaiah reddy layout,Annaiah Reddy Layout,fuzzy_suggestion_NOT_applied,90.0,6,True
channasandra,b channasandra,B Channasandra,fuzzy_suggestion_NOT_applied,92.3,38,True
narayanapura,b narayanapura,B Narayanapura,fuzzy_suggestion_NOT_applied,92.3,10,True
begur road,bagur road,BAGUR ROAD,fuzzy_suggestion_NOT_applied,90.0,74,True
bcc layout,bcmc layout,BCMC Layout,fuzzy_suggestion_NOT_applied,95.2,4,True
beml layout,bel layout,BEL Layout,fuzzy_suggestion_NOT_applied,95.2,10,True
bhel layout,bel layout,BEL Layout,fuzzy_suggestion_NOT_applied,95.2,3,True
beml layout,bhel layout,BHEL Layout,fuzzy_suggestion_NOT_applied,90.9,10,True
banaswadi,banasawadi,"Banasawadi,",fuzzy_suggestion_NOT_applied,94.7,18,True
basnashankari 6th stage,banashankari 6th stage,Banashankari 6th Stage,fuzzy_suggestion_NOT_applied,97.8,1,True
banashankari stage iii,banashankari stage i,Banashankari Stage I,fuzzy_suggestion_NOT_applied,95.2,25,True
banashankari stage ii,banashankari stage i,Banashankari Stage I,fuzzy_suggestion_NOT_applied,97.6,16,True
banashankari stage vi,banashankari stage i,Banashankari Stage I,fuzzy_suggestion_NOT_applied,97.6,16,True
banashankari stage v,banashankari stage i,Banashankari Stage I,fuzzy_suggestion_NOT_applied,95.0,12,True
banashankari stage iii,banashankari stage ii,Banashankari Stage II,fuzzy_suggestion_NOT_applied,97.7,25,True
banashankari stage iii,banashankari stage v,Banashankari Stage V,fuzzy_suggestion_NOT_applied,90.5,25,True
banashankari stage ii,banashankari stage v,Banashankari Stage V,fuzzy_suggestion_NOT_applied,92.7,16,True
banashankari stage vi,banashankari stage v,Banashankari Stage V,fuzzy_suggestion_NOT_applied,97.6,16,True
banashankari stage iii,banashankari stage vi,Banashankari Stage VI,fuzzy_suggestion_NOT_applied,93.0,25,True
banashankari stage ii,banashankari stage vi,Banashankari Stage VI,fuzzy_suggestion_NOT_applied,95.2,16,True
basavanagara,basava nagar,Basava Nagar,fuzzy_suggestion_NOT_applied,91.7,5,True
basaveshwara nagar,basaveswarnagar,Basaveswarnagar,fuzzy_suggestion_NOT_applied,90.9,21,True
belathur,belatur,Belatur,fuzzy_suggestion_NOT_applied,93.3,5,True
bharathi nagar,bharat nagar,Bharat Nagar,fuzzy_suggestion_NOT_applied,92.3,12,True
bharathnagar,bharat nagar,Bharat Nagar,fuzzy_suggestion_NOT_applied,91.7,1,True
bharathi nagar,bharathnagar,Bharathnagar,fuzzy_suggestion_NOT_applied,92.3,12,True
battarahalli,bhattarahalli,Bhattarahalli,fuzzy_suggestion_NOT_applied,96.0,24,True
bhuvaneshwari nagar,bhuvaneswari nagar,Bhuvaneswari Nagar,fuzzy_suggestion_NOT_applied,97.3,6,True
bommanahalli,bommenahalli,Bommenahalli,fuzzy_suggestion_NOT_applied,91.7,35,True
jcr layout,cr layout,CR Layout,fuzzy_suggestion_NOT_applied,94.7,4,True
chokkanahalli,chikkanahalli,Chikkanahalli,fuzzy_suggestion_NOT_applied,92.3,2,True
chikkalasandra,chikkasandra,Chikkasandra,fuzzy_suggestion_NOT_applied,92.3,29,True
chokkanahalli,chokkahalli,Chokkahalli,fuzzy_suggestion_NOT_applied,91.7,2,True
chikkasandra,chokkasandra,Chokkasandra,fuzzy_suggestion_NOT_applied,91.7,4,True
dodda nekkundi,doddanekundi,Doddanekundi,fuzzy_suggestion_NOT_applied,92.3,29,True
bommasandra,dommasandra,Dommasandra,fuzzy_suggestion_NOT_applied,90.9,37,True
dwarka nagar,dwaraka nagar,Dwaraka Nagar,fuzzy_suggestion_NOT_applied,96.0,2,True
electronics city phase 1,electronic city phase 1,"Electronic city Phase 1,",fuzzy_suggestion_NOT_applied,97.9,88,True
frazer town,fraser town,Fraser town,fuzzy_suggestion_NOT_applied,90.9,36,True
manganahalli,ganganahalli,Ganganahalli,fuzzy_suggestion_NOT_applied,91.7,1,True
gokula extension,gokaula extension,Gokaula Extension,fuzzy_suggestion_NOT_applied,97.0,3,True
venugopal reddy layout,gopal reddy layout,Gopal Reddy Layout,fuzzy_suggestion_NOT_applied,90.0,3,True
govindpura,govindapura,Govindapura,fuzzy_suggestion_NOT_applied,95.2,5,True
hsr layout,hbr layout,HBR Layout,fuzzy_suggestion_NOT_applied,90.0,41,True
hosur main road,hosur rmain road,HOSUR RMAIN ROAD,fuzzy_suggestion_NOT_applied,96.8,3,True
hbr layout,hrbr layout,HRBR Layout,fuzzy_suggestion_NOT_applied,95.2,20,True
cholanayakanahalli,halanayakanahalli,Halanayakanahalli,fuzzy_suggestion_NOT_applied,91.4,7,True
hanumanth nagar,hanuman nagar,Hanuman Nagar,fuzzy_suggestion_NOT_applied,92.9,4,True
hanumanth nagar,hanumantha nagar,Hanumantha Nagar,fuzzy_suggestion_NOT_applied,96.8,4,True
puttanahalli,huttanahalli,Huttanahalli,fuzzy_suggestion_NOT_applied,91.7,4,True
indira nagar,indra nagar,Indra Nagar,fuzzy_suggestion_NOT_applied,95.7,43,True
lakkasandra,jakkasandra,Jakkasandra,fuzzy_suggestion_NOT_applied,90.9,2,True
