Locality,Listings,Median Price (Lakhs INR),Median Rs per sqft,Tier
Cubbon Road,1,1900.0,35042.419771302106,Insufficient data (<10 listings)
Sector 3 HSR Layout,1,190.0,31666.666666666668,Insufficient data (<10 listings)
Hsr layout sector3,1,375.0,31250.0,Insufficient data (<10 listings)
J P Nagar 7th Phase Ramayya City,1,350.0,29166.666666666668,Insufficient data (<10 listings)
Sector 4 HSR Layout,1,700.0,29166.666666666668,Insufficient data (<10 listings)
Kathreguppe,2,725.0,29166.666666666664,Insufficient data (<10 listings)
Vittal Mallya Road,1,300.0,29126.21359223301,Insufficient data (<10 listings)
1A Block Koramangala,1,650.0,27542.372881355932,Insufficient data (<10 listings)
Srinivas Colony,2,922.0,27384.090909090908,Insufficient data (<10 listings)
"Beml layout, Rajarajeshwari nagar",1,325.0,27083.333333333332,Insufficient data (<10 listings)
Old Town,1,200.0,26666.666666666668,Insufficient data (<10 listings)
Indiranagar HAL 2nd Stage,1,640.0,26666.666666666668,Insufficient data (<10 listings)
Xavier Layout,1,400.0,26246.719160104985,Insufficient data (<10 listings)
Geetanjali Layout,1,300.0,25000.0,Insufficient data (<10 listings)
SBM Colony,2,377.5,24677.599286033023,Insufficient data (<10 listings)
1Hanuman Nagar,1,490.0,24500.0,Insufficient data (<10 listings)
HAL 2nd Stage,11,260.0,24166.666666666668,Tier 1 - Premium
Langford Gardens,2,649.5,23386.106600319014,Insufficient data (<10 listings)
BTM Layout 1stage 9th Main,1,138.0,23000.0,Insufficient data (<10 listings)
Bapuji Layout,1,275.0,22916.666666666668,Insufficient data (<10 listings)
Binnamangala,1,900.0,22681.451612903227,Insufficient data (<10 listings)
D Souza Layout,1,1015.0,21903.32326283988,Insufficient data (<10 listings)
Gandhi Bazar,2,240.0,21840.958605664488,Insufficient data (<10 listings)
Ashok Nagar,2,1486.0,21765.32220745024,Insufficient data (<10 listings)
7th Block Koramangala,1,130.0,21666.666666666668,Insufficient data (<10 listings)
9th Block Jayanagar,5,240.0,21428.571428571428,Insufficient data (<10 listings)
Dhanalakshmi Layout,1,250.0,20458.265139116203,Insufficient data (<10 listings)
Double Road,1,100.0,20000.0,Insufficient data (<10 listings)
Milk Colony,1,240.0,20000.0,Insufficient data (<10 listings)
5th Block Jayanagar,3,300.0,20000.0,Insufficient data (<10 listings)
Vasanth nagar,7,528.0,19957.894736842107,Insufficient data (<10 listings)
Yediyur,1,225.0,19736.842105263157,Insufficient data (<10 listings)
Lakkasandra Extension,1,250.0,19531.25,Insufficient data (<10 listings)
Achins Road,1,410.0,19523.809523809523,Insufficient data (<10 listings)
Cunningham Road,13,800.0,19479.24823805795,Tier 1 - Premium
Basvasamithi Layout Vidyaranyapura,1,175.0,19444.444444444445,Insufficient data (<10 listings)
Kasthuri Nagar East Of NGEF,1,460.0,19166.666666666668,Insufficient data (<10 listings)
ITI Employees Layout,1,230.0,19166.666666666668,Insufficient data (<10 listings)
RK Colony,1,230.0,19166.666666666668,Insufficient data (<10 listings)
Kumara Park,6,300.0,18824.11067193676,Insufficient data (<10 listings)
Prakruthi Township,1,150.0,18750.0,Insufficient data (<10 listings)
AECS LAYOUT A-BLOCK Singasandra,1,225.0,18750.0,Insufficient data (<10 listings)
Gidada Konnenahalli,2,172.5,18750.0,Insufficient data (<10 listings)
Meenakshi Layout,1,220.0,18333.333333333332,Insufficient data (<10 listings)
Housing Board Layout Vijay Nagar,1,220.0,18333.333333333332,Insufficient data (<10 listings)
RTO ullalu,1,110.0,18333.333333333332,Insufficient data (<10 listings)
RMV,3,365.0,18250.0,Insufficient data (<10 listings)
2nd Block Jayanagar,4,311.5,18177.09664291055,Insufficient data (<10 listings)
2nd Block Koramangala,2,761.0,18166.666666666664,Insufficient data (<10 listings)
Richmond Road,1,630.0,18000.0,Insufficient data (<10 listings)
Havanur extension,1,360.0,18000.0,Insufficient data (<10 listings)
Thavarekere,1,108.0,18000.0,Insufficient data (<10 listings)
Rest House Road,2,690.0,18000.0,Insufficient data (<10 listings)
Ramamohanapuram,1,500.0,17857.14285714286,Insufficient data (<10 listings)
Balepet,1,89.0,17835.67134268537,Insufficient data (<10 listings)
Domlur Layout,3,200.0,17777.777777777777,Insufficient data (<10 listings)
Chaitanya Ananya,1,325.0,17759.562841530056,Insufficient data (<10 listings)
Sadashiva Nagar,10,655.0,17689.70334078859,Tier 1 - Premium
8th Block Jayanagar,4,300.0,17500.0,Insufficient data (<10 listings)
Basaveswarnagar,1,420.0,17500.0,Insufficient data (<10 listings)
Ramaswamy Palya - Kammanahalli Main Road,1,210.0,17500.0,Insufficient data (<10 listings)
Sindhi Colony,1,988.0,17437.837990483316,Insufficient data (<10 listings)
1st Block HRBR Layout,8,125.0,17291.666666666664,Insufficient data (<10 listings)
K N Extension,1,120.0,17142.85714285714,Insufficient data (<10 listings)
"2nd phase jp nagar, jp nagar",1,205.0,17083.333333333332,Insufficient data (<10 listings)
7th Block Jayanagar,5,408.0,17000.0,Insufficient data (<10 listings)
Sri Kanteshwara Nagar,1,200.0,16666.666666666668,Insufficient data (<10 listings)
1Kasavanhalli,1,200.0,16666.666666666668,Insufficient data (<10 listings)
"Banashankari 6th stage , 2nd block",1,100.0,16666.666666666668,Insufficient data (<10 listings)
Michael Palaya,1,200.0,16666.666666666668,Insufficient data (<10 listings)
GKW Layout,1,225.0,16666.666666666668,Insufficient data (<10 listings)
Subramanyanagar,2,175.0,16504.329004329004,Insufficient data (<10 listings)
"6th block banashankari 3rd stage, 100 feet ORR",1,660.0,16500.0,Insufficient data (<10 listings)
BTM Layout 2nd Stage 1st Phase,1,395.0,16458.333333333332,Insufficient data (<10 listings)
Church Street,2,1068.0,16450.809464508096,Insufficient data (<10 listings)
Indra Nagar,2,209.0,16322.58064516129,Insufficient data (<10 listings)
Giri Nagar,14,245.0,16287.878787878788,Tier 1 - Premium
2nd Stage Nagarbhavi,20,227.5,16250.0,Tier 1 - Premium
Abshot Layout,1,185.0,16228.070175438597,Insufficient data (<10 listings)
Millers Road,1,460.0,16140.350877192983,Insufficient data (<10 listings)
M.G Road,1,200.0,16000.0,Insufficient data (<10 listings)
Tilak Nagar,1,40.0,16000.0,Insufficient data (<10 listings)
Jay an agar 4 T Block,1,120.0,16000.0,Insufficient data (<10 listings)
Shivanagar,1,160.0,16000.0,Insufficient data (<10 listings)
Kalasipalya,1,300.0,16000.0,Insufficient data (<10 listings)
south,2,445.0,15994.152046783625,Insufficient data (<10 listings)
Fraser town,1,128.0,15880.893300248139,Insufficient data (<10 listings)
Yemlur,9,1675.0,15833.333333333334,Insufficient data (<10 listings)
Prasanti Nagar,1,190.0,15833.333333333334,Insufficient data (<10 listings)
Viviani Road,1,350.0,15808.491418247515,Insufficient data (<10 listings)
BEML Layout 5th stage,2,205.0,15666.666666666666,Insufficient data (<10 listings)
5th Stage BEML Layout,2,205.0,15666.666666666666,Insufficient data (<10 listings)
RMV 2nd Stage,7,260.0,15659.955257270694,Insufficient data (<10 listings)
Lavelle Road,5,300.0,15633.142261594581,Insufficient data (<10 listings)
Brigade Road,1,220.0,15492.957746478873,Insufficient data (<10 listings)
Binny Mills Employees Colony,1,230.0,15333.333333333334,Insufficient data (<10 listings)
Race Course Road,2,525.0,15315.78947368421,Insufficient data (<10 listings)
N R Layout,1,120.0,15000.0,Insufficient data (<10 listings)
Chandra Layout,8,140.0,15000.0,Insufficient data (<10 listings)
Navodaya Nagar,1,180.0,15000.0,Insufficient data (<10 listings)
"beml layout, basaveshwara nagar",1,360.0,15000.0,Insufficient data (<10 listings)
Nagarbhavi Garden Villas Layout,1,180.0,15000.0,Insufficient data (<10 listings)
Prashanth Nagar,3,260.0,14814.814814814816,Insufficient data (<10 listings)
Mudalpalaya,1,155.0,14761.904761904761,Insufficient data (<10 listings)
Craig Park Layout,1,148.0,14653.465346534653,Insufficient data (<10 listings)
Infantry Road,2,472.5,14605.99078341014,Insufficient data (<10 listings)
3rd Block Banashankari,5,325.0,14583.333333333334,Insufficient data (<10 listings)
Benson Town,15,280.0,14573.991031390135,Tier 1 - Premium
bsk 6th stage 2ad block near sri conversation hall,1,87.0,14500.0,Insufficient data (<10 listings)
Gkvk Layout,3,180.0,14444.444444444445,Insufficient data (<10 listings)
Hunasamaranahalli,2,787.5,14437.5,Insufficient data (<10 listings)
Annapurneshwari Nagar,2,210.0,14375.0,Insufficient data (<10 listings)
Thanisandra main road,7,285.0,14302.684723212164,Insufficient data (<10 listings)
Jayamahal Extension,2,335.0,14288.888888888889,Insufficient data (<10 listings)
Anjana Nagar,2,177.5,14258.312020460358,Insufficient data (<10 listings)
poornaprajna layout,1,128.0,14222.222222222223,Insufficient data (<10 listings)
BTM 1st Stage,10,115.5,14166.666666666668,Tier 1 - Premium
Nagarbhavi  BDA Complex,1,85.0,14166.666666666666,Insufficient data (<10 listings)
8th block Koramangala,7,233.0,14166.666666666666,Insufficient data (<10 listings)
1 Ramamurthy Nagar,1,170.0,14166.666666666666,Insufficient data (<10 listings)
Subbannaiah Palya,1,85.0,14166.666666666666,Insufficient data (<10 listings)
Rahat Bagh,1,550.0,14102.564102564103,Insufficient data (<10 listings)
Palace Guttahalli,4,182.5,14011.904761904763,Insufficient data (<10 listings)
Attiguppe,1,70.0,14000.0,Insufficient data (<10 listings)
Shanthala Nagar,5,230.0,13981.76291793313,Insufficient data (<10 listings)
1st Stage Radha Krishna Layout,1,250.0,13966.480446927375,Insufficient data (<10 listings)
